model,dataset,optim_level,accuracy,precision,recall,f1,mcc,fpr
opencoder-8b,source_code_mix_pseudo_code,O3,0.9036697247706422,0.9166666666666666,0.8461538461538461,0.88,0.8015426168393752,0.3333333331746032
opencoder-8b,source_code_mix_pseudo_code,Os,0.9342105263157895,0.9166666666666666,0.9263157894736842,0.9214659685863874,0.8648999641877366,0.5333333329777777
opencoder-8b,source_code_mix_pseudo_code,all,0.8870192307692307,0.8957055214723927,0.8295454545454546,0.8613569321533924,0.7678650740868332,0.3617021276339218
qwen-0.5b,source_code_mix_pseudo_code,O0,0.794344473007712,0.8,0.6946107784431138,0.7435897435897436,0.5773240180184641,0.3624999999546875
qwen-0.5b,source_code_mix_pseudo_code,O1,0.9330543933054394,0.9595959595959596,0.8878504672897196,0.9223300970873787,0.8656760304333644,0.24999999984375
qwen-0.5b,source_code_mix_pseudo_code,O2,0.9540229885057471,0.9285714285714286,0.9558823529411765,0.9420289855072463,0.9042077422560242,0.6249999992187499
qwen-0.5b,source_code_mix_pseudo_code,O3,0.9220183486238532,0.9204545454545454,0.8901098901098901,0.9050279329608939,0.8392507624593148,0.4117647056401384
qwen-0.5b,source_code_mix_pseudo_code,Os,0.9473684210526315,0.9278350515463918,0.9473684210526315,0.9375,0.8921983764085971,0.5833333328472222
qwen-0.5b,source_code_mix_pseudo_code,all,0.8934294871794872,0.8957915831663327,0.8465909090909091,0.8704965920155794,0.7809798178023021,0.3909774435796257
qwen-0.5b,source_code_pseudo_code,O0,0.7455012853470437,0.717948717948718,0.6706586826347305,0.6934984520123839,0.47715552184461285,0.4444444443995511
qwen-0.5b,source_code_pseudo_code,O1,0.899581589958159,0.9368421052631579,0.8317757009345794,0.8811881188118812,0.7989797383400092,0.24999999989583332
qwen-0.5b,source_code_pseudo_code,O2,0.9310344827586207,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.8551609322974473,0.4999999995833333
qwen-0.5b,source_code_pseudo_code,O3,0.8990825688073395,0.9367088607594937,0.8131868131868132,0.8705882352941177,0.793852338303083,0.22727272716942148
qwen-0.5b,source_code_pseudo_code,Os,0.9298245614035088,0.9157894736842105,0.9157894736842105,0.9157894736842105,0.8556390977443609,0.4999999996875
qwen-0.5b,source_code_pseudo_code,all,0.8613782051282052,0.8600405679513184,0.803030303030303,0.8305582761998042,0.714704744458707,0.39884393061278356
qwen-1.5b,source_code_mix_pseudo_code,O0,0.8071979434447301,0.8026315789473685,0.7305389221556886,0.7648902821316614,0.604018650143869,0.3999999999466667
qwen-1.5b,source_code_mix_pseudo_code,O1,0.9456066945606695,0.9519230769230769,0.9252336448598131,0.9383886255924171,0.8900053787788099,0.3846153843195266
qwen-1.5b,source_code_mix_pseudo_code,O2,0.9770114942528736,0.9571428571428572,0.9852941176470589,0.9710144927536232,0.9522480925316115,0.7499999981250001
