model,dataset,optim_level,accuracy,precision,recall,f1,mcc,fpr
dsc-7b,pseudo_code,O1,0.7573221757322176,0.7578947368421053,0.6728971962616822,0.7128712871287128,0.5066823606274703,0.39655172406956
dsc-7b,pseudo_code,O2,0.735632183908046,0.671875,0.6323529411764706,0.6515151515151515,0.4393904556087588,0.4565217390311909
dsc-7b,pseudo_code,O3,0.7844036697247706,0.782051282051282,0.6703296703296703,0.7218934911242604,0.5518967208587464,0.36170212758261655
dsc-7b,pseudo_code,Os,0.7280701754385965,0.7088607594936709,0.5894736842105263,0.6436781609195402,0.43155789594962163,0.37096774187565035
dsc-7b,pseudo_code,all,0.7395833333333334,0.7221006564551422,0.625,0.6700507614213198,0.4600519687852316,0.3907692307572071
gpt-3.5-turbo,assembly_code,O0,0.4832904884318766,0.4409722222222222,0.7604790419161677,0.5582417582417583,0.0398000789904557,0.8009950248357713
gpt-3.5-turbo,assembly_code,O1,0.4895397489539749,0.46153846153846156,0.8411214953271028,0.5960264900662252,0.058591850738281034,0.8606557376343725
gpt-3.5-turbo,assembly_code,O2,0.4827586206896552,0.4126984126984127,0.7647058823529411,0.5360824742268041,0.07269891966936623,0.8222222221308643
gpt-3.5-turbo,assembly_code,O3,0.555045871559633,0.4807692307692308,0.8241758241758241,0.6072874493927125,0.20373469730796195,0.8350515463056648
gpt-3.5-turbo,assembly_code,Os,0.4605263157894737,0.4186046511627907,0.7578947368421053,0.5393258426966292,0.006889183173863031,0.8130081300152027
gpt-3.5-turbo,assembly_code,all,0.49278846153846156,0.4439701173959445,0.7878787878787878,0.5679180887372014,0.07340502996261446,0.8230647709190669
gpt-3.5-turbo,pseudo_code,O0,0.4961439588688946,0.44802867383512546,0.7485029940119761,0.5605381165919282,0.06024077307918533,0.7857142856741982
gpt-3.5-turbo,pseudo_code,O1,0.4811715481171548,0.44654088050314467,0.6635514018691588,0.5338345864661654,-0.003282692979693092,0.7096774192976067
gpt-3.5-turbo,pseudo_code,O2,0.5229885057471264,0.43243243243243246,0.7058823529411765,0.5363128491620112,0.11324444186059168,0.7590361444868632
gpt-3.5-turbo,pseudo_code,O3,0.5688073394495413,0.4881889763779528,0.6813186813186813,0.5688073394495413,0.16950765769663406,0.691489361628565
gpt-3.5-turbo,pseudo_code,Os,0.4824561403508772,0.4228187919463087,0.6631578947368421,0.5163934426229508,0.01713767817850483,0.72881355926027
gpt-3.5-turbo,pseudo_code,all,0.5072115384615384,0.44727272727272727,0.6988636363636364,0.5454545454545454,0.06839561008378515,0.74146341462209
llm4decompile-1.3b-v2,assembly_code,O0,0.6246786632390745,0.6039603960396039,0.3652694610778443,0.4552238805970149,0.20895802756886533,0.27397260272096075
llm4decompile-1.3b-v2,assembly_code,O1,0.5899581589958159,0.5542168674698795,0.42990654205607476,0.4842105263157895,0.156249737802482,0.37755102036963767
llm4decompile-1.3b-v2,assembly_code,O2,0.6666666666666666,0.5806451612903226,0.5294117647058824,0.5538461538461539,0.2894794289518862,0.44827586199167657
llm4decompile-1.3b-v2,assembly_code,O3,0.6146788990825688,0.5432098765432098,0.4835164835164835,0.5116279069767442,0.19612059804051826,0.44047619042375286
llm4decompile-1.3b-v2,assembly_code,Os,0.618421052631579,0.5540540540540541,0.43157894736842106,0.48520710059171596,0.19317440721292736,0.37931034478398734
llm4decompile-1.3b-v2,assembly_code,all,0.6209935897435898,0.5685785536159601,0.4318181818181818,0.4908503767491927,0.20264211855303207,0.36575052853349366
llm4decompile-1.3b-v2,pseudo_code,O0,0.7017994858611826,0.6917293233082706,0.5508982035928144,0.6133333333333333,0.3821406975880023,0.3534482758315993
llm4decompile-1.3b-v2,pseudo_code,O1,0.8200836820083682,0.8137254901960784,0.7757009345794392,0.7942583732057417,0.6351432238319724,0.44186046501352083
llm4decompile-1.3b-v2,pseudo_code,O2,0.8160919540229885,0.8,0.7058823529411765,0.75,0.6084092442730079,0.3749999998828125
llm4decompile-1.3b-v2,pseudo_code,O3,0.7981651376146789,0.7901234567901234,0.7032967032967034,0.7441860465116279,0.5811209615959706,0.3863636362758264
llm4decompile-1.3b-v2,pseudo_code,Os,0.8728070175438597,0.875,0.8105263157894737,0.8415300546448088,0.7370653336865389,0.37931034469678954
llm4decompile-1.3b-v2,pseudo_code,all,0.7884615384615384,0.7844827586206896,0.6893939393939394,0.7338709677419355,0.5627655390362196,0.37878787877353076
llm4decompile-6.7b-v2,assembly_code,O0,0.5938303341902313,0.5378151260504201,0.38323353293413176,0.44755244755244755,0.14553689080597995,0.34810126580075307
llm4decompile-6.7b-v2,assembly_code,O1,0.5899581589958159,0.5436893203883495,0.5233644859813084,0.5333333333333333,0.16799517196085523,0.47959183668575595
llm4decompile-6.7b-v2,assembly_code,O2,0.6724137931034483,0.5901639344262295,0.5294117647058824,0.5581395348837209,0.30019547051872186,0.4385964911511234
llm4decompile-6.7b-v2,assembly_code,O3,0.6055045871559633,0.5294117647058824,0.4945054945054945,0.5113636363636364,0.18153495465682215,0.4651162790156842
llm4decompile-6.7b-v2,assembly_code,Os,0.6140350877192983,0.5432098765432098,0.4631578947368421,0.5,0.1905328713851898,0.4204545454067666
llm4decompile-6.7b-v2,assembly_code,all,0.6097756410256411,0.5456570155902004,0.4640151515151515,0.5015353121801432,0.18599492805762813,0.41889117042261004
llm4decompile-6.7b-v2,pseudo_code,O0,0.712082262210797,0.6923076923076923,0.592814371257485,0.6387096774193548,0.4051109955950173,0.39285714282206635
llm4decompile-6.7b-v2,pseudo_code,O1,0.8451882845188284,0.8571428571428571,0.7850467289719626,0.8195121951219512,0.6864630388760472,0.3783783782761139
llm4decompile-6.7b-v2,pseudo_code,O2,0.867816091954023,0.835820895522388,0.8235294117647058,0.8296296296296296,0.7217109394453163,0.47826086935727785
llm4decompile-6.7b-v2,pseudo_code,O3,0.7981651376146789,0.7901234567901234,0.7032967032967034,0.7441860465116279,0.5811209615959706,0.3863636362758264
llm4decompile-6.7b-v2,pseudo_code,Os,0.8771929824561403,0.9036144578313253,0.7894736842105263,0.8426966292134831,0.7472822541748156,0.2857142856122449
llm4decompile-6.7b-v2,pseudo_code,all,0.8044871794871795,0.8008474576271186,0.7159090909090909,0.756,0.5963477640390203,0.3852459016235555
llm4decompile-9b-v2,assembly_code,O0,0.622107969151671,0.5819672131147541,0.4251497005988024,0.4913494809688581,0.20848178702506626,0.3469387754866028
llm4decompile-9b-v2,assembly_code,O1,0.6694560669456067,0.6458333333333334,0.5794392523364486,0.6108374384236454,0.32647275317418106,0.43037974678096463
llm4decompile-9b-v2,assembly_code,O2,0.7528735632183908,0.6984126984126984,0.6470588235294118,0.6717557251908397,0.47495056959442183,0.44186046501352083
llm4decompile-9b-v2,assembly_code,O3,0.7247706422018348,0.6781609195402298,0.6483516483516484,0.6629213483146067,0.4308721910429668,0.4666666665888889
llm4decompile-9b-v2,assembly_code,Os,0.6973684210526315,0.6511627906976745,0.5894736842105263,0.6187845303867403,0.37015868699594323,0.43478260863264023
llm4decompile-9b-v2,assembly_code,all,0.6810897435897436,0.6431718061674009,0.553030303030303,0.594704684317719,0.33686740960281686,0.40703517586917
llm4decompile-9b-v2,pseudo_code,O0,0.7763496143958869,0.7666666666666667,0.688622754491018,0.7255520504731862,0.5399531962557991,0.4022988505284714
llm4decompile-9b-v2,pseudo_code,O1,0.9581589958158996,0.98989898989899,0.9158878504672897,0.9514563106796117,0.9169218786682325,0.0999999999
llm4decompile-9b-v2,pseudo_code,O2,0.9942528735632183,0.9855072463768116,1.0,0.9927007299270073,0.9880334043965545,0.9999999900000002
llm4decompile-9b-v2,pseudo_code,O3,0.9724770642201835,0.967032967032967,0.967032967032967,0.967032967032967,0.9434109197888726,0.49999999916666665
llm4decompile-9b-v2,pseudo_code,Os,0.9912280701754386,0.979381443298969,1.0,0.9895833333333334,0.9821679605842539,0.999999995
